order_date,product_category,product_name,sales_amount,quantity,customer_id,customer_type,region,channel
2024-05-22,Home,Home Product,192.34,3,1664,Returning,West,Online
2024-07-04,Home,Home Product,171.68,4,1612,Returning,East,Online
2024-09-20,Electronics,Electronics Product,265.34,4,1349,Returning,North,Online
2024-02-16,Clothing,Clothing Product,193.57,3,1603,New,East,Online
2024-02-27,Home,Home Product,170.83,1,1907,Returning,East,Online
2024-05-08,Home,Home Product,305.93,5,1884,New,South,Online
2024-09-28,Clothing,Clothing Product,224.3,5,1246,Returning,North,Offline
2024-03-16,Clothing,Clothing Product,185.76,2,1473,New,South,Offline
2024-12-06,Electronics,Electronics Product,312.32,2,1521,Returning,East,Online
2024-09-02,Home,Home Product,200.11,5,1515,New,North,Online
2024-01-16,Clothing,Clothing Product,245.36,3,1851,Returning,West,Offline
2024-05-31,Home,Home Product,228.87,4,1834,New,West,Offline
2024-03-05,Home,Home Product,228.02,4,1606,New,North,Online
2024-10-28,Electronics,Electronics Product,140.63,2,1969,Returning,South,Online
2024-03-30,Home,Home Product,170.42,2,1500,Returning,South,Online
2024-04-23,Clothing,Clothing Product,162.22,2,1868,Returning,North,Offline
2024-07-10,Electronics,Electronics Product,252.61,1,1998,New,East,Offline
2024-04-05,Clothing,Clothing Product,293.17,1,1866,Returning,West,Offline
2024-12-26,Electronics,Electronics Product,130.22,1,1341,Returning,South,Online
2024-07-05,Electronics,Electronics Product,175.32,4,1717,Returning,East,Online
2024-08-10,Clothing,Clothing Product,259.04,5,1098,New,West,Online
2024-01-25,Clothing,Clothing Product,179.44,5,1041,Returning,West,Online
2024-07-04,Home,Home Product,214.96,5,1234,Returning,East,Online
2024-11-26,Clothing,Clothing Product,113.0,5,1167,Returning,South,Online
2024-06-18,Home,Home Product,214.62,5,1164,New,North,Offline
2024-12-04,Electronics,Electronics Product,160.15,3,1444,Returning,West,Online
2024-12-29,Clothing,Clothing Product,211.21,3,1172,Returning,South,Online
2024-05-20,Home,Home Product,219.36,1,1386,New,South,Online
2024-12-13,Electronics,Electronics Product,112.77,1,1933,New,South,Online
2024-04-26,Home,Home Product,213.45,5,1675,Returning,South,Online
2024-08-14,Electronics,Electronics Product,200.76,1,1372,Returning,East,Online
2024-02-23,Clothing,Clothing Product,193.34,4,1372,New,South,Offline
2024-01-08,Home,Home Product,258.58,4,1731,New,South,Online
2024-12-22,Clothing,Clothing Product,257.03,4,1751,Returning,North,Offline
2024-02-15,Electronics,Electronics Product,165.39,5,1814,Returning,East,Offline
2024-01-10,Home,Home Product,195.58,1,1145,New,West,Offline
2024-08-11,Electronics,Electronics Product,183.07,1,1853,Returning,East,Online
2024-11-10,Electronics,Electronics Product,104.33,4,1976,Returning,East,Offline
2024-07-15,Electronics,Electronics Product,164.04,5,1564,Returning,East,Offline
2024-06-13,Home,Home Product,160.61,5,1716,New,South,Online
2024-09-16,Electronics,Electronics Product,114.94,4,1094,Returning,South,Offline
2024-03-12,Home,Home Product,168.93,1,1053,Returning,East,Online
2024-08-23,Home,Home Product,253.57,5,1852,Returning,North,Offline
2024-03-06,Clothing,Clothing Product,203.24,2,1797,Returning,East,Offline
2024-11-30,Clothing,Clothing Product,214.42,1,1983,New,East,Offline
2024-11-30,Home,Home Product,199.12,4,1851,Returning,West,Offline
2024-03-09,Home,Home Product,247.78,3,1042,New,South,Online
2024-08-27,Clothing,Clothing Product,94.15,4,1359,Returning,East,Online
2024-07-02,Clothing,Clothing Product,289.99,2,1060,Returning,North,Offline
2024-05-01,Clothing,Clothing Product,185.85,1,1644,New,East,Offline
2024-08-20,Home,Home Product,195.39,2,1812,New,West,Offline
2024-03-13,Electronics,Electronics Product,126.44,5,1336,Returning,South,Online
2024-01-26,Electronics,Electronics Product,202.5,4,1718,Returning,West,Online
2024-10-29,Home,Home Product,306.84,2,1525,Returning,East,Online
2024-07-05,Clothing,Clothing Product,215.15,3,1750,Returning,West,Offline
2024-09-30,Home,Home Product,115.96,2,1038,New,South,Online
2024-09-29,Home,Home Product,114.66,1,1524,New,East,Online
2024-07-30,Home,Home Product,204.64,2,1622,Returning,North,Offline
2024-09-20,Electronics,Electronics Product,148.32,5,1517,New,West,Offline
2024-06-28,Home,Home Product,229.79,5,1661,Returning,South,Online
2024-10-03,Home,Home Product,141.26,3,1445,New,South,Online
2024-11-13,Clothing,Clothing Product,157.83,3,1003,Returning,South,Online
2024-11-30,Home,Home Product,190.85,3,1573,New,South,Online
2024-07-12,Clothing,Clothing Product,160.24,4,1786,New,East,Offline
2024-07-30,Electronics,Electronics Product,234.24,5,1893,Returning,North,Online
2024-05-18,Electronics,Electronics Product,148.38,2,1171,New,East,Online
2024-01-13,Home,Home Product,176.93,1,1784,New,West,Online
2024-09-21,Clothing,Clothing Product,234.62,4,1235,Returning,East,Online
2024-11-29,Clothing,Clothing Product,187.82,3,1512,New,North,Offline
2024-10-22,Home,Home Product,231.92,4,1797,Returning,West,Online
2024-10-17,Electronics,Electronics Product,241.78,2,1573,Returning,North,Offline
2024-05-11,Electronics,Electronics Product,306.34,3,1636,Returning,North,Offline
2024-12-18,Clothing,Clothing Product,176.1,1,1502,New,East,Online
2024-11-04,Clothing,Clothing Product,272.88,2,1447,Returning,West,Online
2024-01-15,Electronics,Electronics Product,147.15,3,1419,Returning,East,Online
2024-06-05,Electronics,Electronics Product,290.59,3,1841,New,South,Online
2024-12-18,Home,Home Product,168.09,5,1215,New,South,Online
2024-07-02,Electronics,Electronics Product,284.86,3,1094,Returning,East,Online
2024-04-24,Home,Home Product,171.58,3,1253,New,East,Online
2024-11-25,Home,Home Product,248.82,2,1140,Returning,West,Online
2024-04-13,Home,Home Product,109.93,4,1682,New,South,Offline
2024-12-21,Electronics,Electronics Product,215.01,2,1904,Returning,West,Offline
2024-02-20,Home,Home Product,131.61,1,1813,Returning,North,Offline
2024-04-10,Home,Home Product,352.32,5,1430,New,North,Offline
2024-11-04,Home,Home Product,231.44,1,1802,New,North,Offline
2024-03-03,Electronics,Electronics Product,106.66,3,1528,Returning,West,Offline
2024-05-07,Clothing,Clothing Product,32.92,1,1966,New,East,Online
2024-06-28,Electronics,Electronics Product,310.94,4,1881,New,South,Offline
2024-02-18,Electronics,Electronics Product,267.59,4,1062,New,East,Offline
2024-07-07,Electronics,Electronics Product,118.24,3,1317,New,West,Online
2024-02-01,Electronics,Electronics Product,85.32,3,1017,New,South,Offline
2024-09-13,Clothing,Clothing Product,56.47,3,1830,Returning,South,Online
2024-05-11,Electronics,Electronics Product,125.56,2,1457,Returning,North,Online
2024-06-10,Electronics,Electronics Product,256.14,1,1312,New,West,Online
2024-09-03,Clothing,Clothing Product,276.29,1,1238,New,East,Offline
2024-08-16,Clothing,Clothing Product,185.58,3,1911,New,East,Offline
2024-06-13,Electronics,Electronics Product,177.51,2,1006,New,South,Online
2024-11-25,Electronics,Electronics Product,219.57,4,1081,New,East,Online
2024-01-02,Clothing,Clothing Product,124.93,2,1706,New,North,Offline
2024-04-28,Electronics,Electronics Product,256.98,3,1499,Returning,West,Online
2024-12-07,Electronics,Electronics Product,178.34,1,1881,Returning,West,Offline
2024-04-24,Home,Home Product,118.5,3,1493,Returning,North,Offline
2024-01-04,Home,Home Product,171.83,5,1074,Returning,South,Offline
2024-11-21,Electronics,Electronics Product,143.31,2,1587,Returning,South,Offline
2024-03-27,Home,Home Product,159.25,3,1167,New,North,Online
2024-04-07,Electronics,Electronics Product,190.51,4,1701,New,West,Offline
2024-05-01,Home,Home Product,248.4,3,1692,Returning,South,Online
2024-10-18,Home,Home Product,249.46,3,1806,Returning,East,Online
2024-08-19,Home,Home Product,192.52,5,1311,Returning,East,Online
2024-10-15,Clothing,Clothing Product,149.76,5,1481,Returning,South,Online
2024-07-19,Home,Home Product,160.47,1,1640,New,South,Online
2024-08-04,Clothing,Clothing Product,259.14,1,1956,Returning,North,Offline
2024-01-17,Electronics,Electronics Product,164.33,3,1775,New,South,Online
2024-05-28,Clothing,Clothing Product,281.29,1,1876,Returning,North,Offline
2024-01-26,Home,Home Product,261.72,2,1980,Returning,East,Offline
2024-03-26,Clothing,Clothing Product,226.8,2,1826,Returning,South,Online
2024-08-02,Home,Home Product,187.2,3,1401,New,North,Offline
2024-04-12,Home,Home Product,137.45,4,1038,New,North,Offline
2024-01-15,Electronics,Electronics Product,276.68,5,1721,Returning,West,Online
2024-06-09,Electronics,Electronics Product,242.8,3,1890,New,West,Offline
2024-02-08,Electronics,Electronics Product,202.82,5,1747,Returning,South,Offline
2024-07-03,Clothing,Clothing Product,217.22,1,1989,New,West,Online
2024-06-25,Electronics,Electronics Product,74.89,4,1145,New,East,Online
2024-10-19,Electronics,Electronics Product,185.3,4,1139,New,North,Offline
2024-07-05,Electronics,Electronics Product,147.01,3,1061,New,South,Offline
2024-11-28,Electronics,Electronics Product,201.22,5,1242,New,South,Offline
2024-11-25,Home,Home Product,180.1,2,1258,New,East,Online
2024-09-18,Electronics,Electronics Product,350.1,1,1572,New,North,Offline
2024-06-26,Home,Home Product,228.18,3,1997,Returning,South,Offline
2024-09-25,Electronics,Electronics Product,149.59,1,1951,Returning,West,Online
2024-11-18,Electronics,Electronics Product,209.88,4,1169,Returning,East,Offline
2024-01-09,Electronics,Electronics Product,95.09,3,1900,New,East,Offline
2024-06-24,Home,Home Product,124.56,5,1795,New,South,Online
2024-03-21,Electronics,Electronics Product,170.63,2,1039,Returning,South,Online
2024-12-12,Electronics,Electronics Product,262.65,4,1352,Returning,North,Offline
2024-02-28,Electronics,Electronics Product,144.3,5,1746,New,East,Online
2024-02-14,Electronics,Electronics Product,235.66,2,1671,Returning,South,Online
2024-12-28,Home,Home Product,294.04,4,1294,New,North,Offline
2024-08-11,Home,Home Product,220.59,2,1699,Returning,North,Online
2024-12-09,Clothing,Clothing Product,197.21,2,1830,New,North,Online
2024-02-29,Home,Home Product,180.21,4,1863,Returning,East,Offline
2024-08-29,Clothing,Clothing Product,185.96,2,1119,Returning,West,Online
2024-07-28,Home,Home Product,310.81,4,1762,Returning,South,Offline
2024-08-14,Electronics,Electronics Product,173.05,3,1458,New,West,Online
2024-02-27,Home,Home Product,267.61,4,1976,Returning,East,Online
2024-04-08,Electronics,Electronics Product,138.73,2,1686,Returning,North,Online
2024-03-24,Clothing,Clothing Product,242.5,4,1439,Returning,South,Online
2024-04-01,Electronics,Electronics Product,89.19,2,1891,Returning,North,Offline
2024-01-15,Electronics,Electronics Product,166.0,4,1785,Returning,South,Online
2024-09-27,Clothing,Clothing Product,220.56,3,1685,New,West,Offline
2024-02-19,Clothing,Clothing Product,227.41,5,1535,New,West,Offline
2024-11-11,Clothing,Clothing Product,85.82,1,1677,Returning,South,Online
2024-11-14,Home,Home Product,177.28,3,1063,Returning,South,Online
2024-07-23,Electronics,Electronics Product,348.34,3,1300,New,North,Online
2024-08-04,Home,Home Product,170.25,3,1087,Returning,North,Offline
2024-02-10,Electronics,Electronics Product,111.65,1,1713,New,North,Offline
2024-08-29,Electronics,Electronics Product,194.62,5,1925,New,West,Online
2024-03-17,Home,Home Product,307.86,2,1142,New,West,Online
2024-04-15,Electronics,Electronics Product,238.45,3,1901,New,East,Offline
2024-01-09,Electronics,Electronics Product,241.89,2,1859,Returning,South,Online
2024-11-13,Home,Home Product,223.61,3,1083,Returning,West,Offline
2024-07-26,Home,Home Product,224.08,2,1013,Returning,West,Offline
2024-01-12,Electronics,Electronics Product,330.95,3,1566,Returning,East,Online
2024-08-25,Electronics,Electronics Product,198.54,2,1965,Returning,West,Online
2024-07-29,Electronics,Electronics Product,328.54,3,1923,Returning,South,Offline
2024-07-20,Clothing,Clothing Product,228.94,1,1861,Returning,East,Online
2024-07-31,Home,Home Product,174.81,4,1731,Returning,East,Offline
2024-12-29,Home,Home Product,225.78,4,1577,Returning,South,Offline
2024-11-30,Home,Home Product,129.35,2,1245,Returning,South,Offline
2024-05-04,Clothing,Clothing Product,162.47,4,1751,Returning,West,Offline
2024-03-27,Home,Home Product,223.75,5,1933,New,South,Offline
2024-02-10,Home,Home Product,65.93,2,1742,Returning,South,Offline
2024-11-21,Clothing,Clothing Product,214.11,3,1228,New,North,Online
2024-09-17,Electronics,Electronics Product,197.18,3,1009,New,East,Offline
2024-07-13,Home,Home Product,228.62,4,1861,Returning,South,Online
2024-12-26,Electronics,Electronics Product,149.7,4,1283,Returning,North,Online
2024-04-30,Electronics,Electronics Product,231.24,1,1496,Returning,East,Online
2024-04-29,Clothing,Clothing Product,180.39,2,1968,New,West,Offline
2024-10-19,Home,Home Product,166.94,5,1756,New,West,Online
2024-02-28,Electronics,Electronics Product,208.36,1,1038,New,North,Online
2024-08-10,Clothing,Clothing Product,227.15,4,1150,New,West,Online
2024-05-05,Home,Home Product,162.57,5,1494,Returning,North,Online
2024-03-26,Home,Home Product,314.84,3,1969,Returning,East,Offline
2024-04-23,Electronics,Electronics Product,175.88,1,1813,Returning,South,Offline
2024-10-15,Clothing,Clothing Product,216.74,5,1360,Returning,North,Offline
2024-03-30,Home,Home Product,196.15,5,1584,New,South,Offline
2024-09-01,Clothing,Clothing Product,219.73,5,1101,Returning,North,Offline
2024-05-11,Clothing,Clothing Product,182.15,3,1640,Returning,South,Offline
2024-12-09,Home,Home Product,211.91,1,1075,New,South,Offline
2024-07-17,Electronics,Electronics Product,263.81,3,1939,Returning,East,Online
2024-04-11,Clothing,Clothing Product,334.77,2,1961,Returning,South,Offline
2024-09-21,Electronics,Electronics Product,172.75,2,1664,Returning,East,Offline
2024-01-12,Home,Home Product,198.8,4,1782,New,North,Online
2024-02-12,Clothing,Clothing Product,245.54,1,1803,Returning,West,Offline
2024-07-21,Clothing,Clothing Product,216.87,3,1801,Returning,East,Online
2024-11-29,Electronics,Electronics Product,210.79,2,1419,New,North,Online
2024-06-06,Home,Home Product,283.52,1,1349,Returning,South,Online
2024-09-19,Home,Home Product,256.94,5,1297,New,East,Offline
2024-02-05,Home,Home Product,160.27,5,1361,Returning,West,Offline
2024-02-16,Electronics,Electronics Product,182.96,1,1782,Returning,East,Offline
2024-01-10,Home,Home Product,224.07,1,1153,Returning,West,Online
2024-12-12,Home,Home Product,261.73,3,1675,Returning,North,Offline
2024-08-29,Clothing,Clothing Product,234.19,1,1630,Returning,North,Online
2024-05-28,Home,Home Product,257.83,2,1968,Returning,North,Online
2024-03-18,Electronics,Electronics Product,332.63,3,1262,New,North,Online
2024-03-25,Clothing,Clothing Product,262.56,4,1217,Returning,South,Online
2024-04-11,Clothing,Clothing Product,168.81,5,1352,New,South,Offline
2024-06-12,Electronics,Electronics Product,164.81,1,1827,New,East,Online
2024-05-09,Electronics,Electronics Product,188.15,2,1066,Returning,West,Online
2024-10-26,Home,Home Product,300.35,4,1263,Returning,North,Online
2024-05-29,Home,Home Product,225.14,1,1310,New,West,Offline
2024-07-26,Home,Home Product,198.8,5,1278,Returning,South,Online
2024-12-13,Home,Home Product,223.02,4,1320,Returning,East,Offline
2024-04-30,Electronics,Electronics Product,225.51,5,1783,New,South,Online
2024-02-07,Home,Home Product,220.14,2,1748,New,West,Online
2024-03-06,Electronics,Electronics Product,278.6,2,1195,New,North,Online
2024-11-06,Clothing,Clothing Product,151.76,4,1100,Returning,South,Offline
2024-08-31,Clothing,Clothing Product,288.57,2,1669,Returning,South,Online
2024-05-13,Clothing,Clothing Product,265.02,5,1674,New,East,Online
2024-03-06,Home,Home Product,242.74,2,1792,Returning,East,Online
2024-09-09,Electronics,Electronics Product,155.41,5,1435,Returning,South,Offline
2024-01-25,Electronics,Electronics Product,105.12,5,1955,Returning,North,Online
2024-01-12,Electronics,Electronics Product,202.17,5,1827,Returning,West,Offline
2024-06-08,Clothing,Clothing Product,187.19,2,1381,Returning,North,Offline
2024-09-23,Electronics,Electronics Product,217.08,3,1904,New,South,Offline
2024-04-08,Electronics,Electronics Product,232.91,1,1259,New,North,Offline
2024-09-16,Electronics,Electronics Product,144.65,5,1819,New,East,Online
2024-05-03,Clothing,Clothing Product,302.87,3,1518,Returning,South,Offline
2024-06-03,Home,Home Product,136.44,5,1509,Returning,West,Offline
2024-07-01,Home,Home Product,251.79,2,1887,New,South,Online
2024-03-05,Electronics,Electronics Product,152.21,5,1337,Returning,North,Offline
2024-06-21,Electronics,Electronics Product,271.79,5,1793,Returning,West,Online
2024-07-14,Home,Home Product,190.49,4,1924,New,South,Online
2024-02-11,Home,Home Product,159.86,1,1129,Returning,North,Offline
2024-02-29,Electronics,Electronics Product,262.39,4,1231,Returning,West,Online
2024-10-03,Clothing,Clothing Product,109.43,1,1955,New,West,Online
2024-12-08,Electronics,Electronics Product,183.46,1,1086,Returning,West,Online
2024-04-10,Electronics,Electronics Product,265.58,3,1663,Returning,West,Online
2024-01-17,Electronics,Electronics Product,234.52,4,1650,Returning,North,Online
2024-07-29,Clothing,Clothing Product,216.95,2,1549,New,East,Online
2024-04-20,Electronics,Electronics Product,157.53,1,1328,Returning,West,Online
2024-02-18,Home,Home Product,198.37,2,1777,New,West,Online
2024-05-28,Clothing,Clothing Product,234.46,5,1159,Returning,West,Offline
2024-12-16,Home,Home Product,137.31,4,1984,New,West,Online
2024-04-23,Home,Home Product,82.02,3,1685,Returning,South,Offline
2024-04-22,Electronics,Electronics Product,189.97,5,1660,Returning,West,Online
2024-05-05,Home,Home Product,216.95,4,1735,Returning,West,Offline
2024-07-21,Home,Home Product,303.79,2,1540,New,West,Offline
2024-07-31,Clothing,Clothing Product,218.01,4,1460,Returning,East,Offline
2024-10-04,Electronics,Electronics Product,233.93,5,1029,Returning,East,Offline
2024-10-21,Clothing,Clothing Product,94.35,2,1185,Returning,West,Offline
2024-05-23,Electronics,Electronics Product,148.67,2,1865,Returning,West,Offline
2024-01-10,Home,Home Product,162.75,1,1111,New,North,Offline
2024-01-13,Home,Home Product,249.62,4,1586,Returning,North,Offline
2024-08-30,Clothing,Clothing Product,247.87,2,1131,Returning,East,Online
2024-04-20,Home,Home Product,114.9,5,1201,Returning,North,Offline
2024-02-07,Electronics,Electronics Product,94.35,4,1220,Returning,South,Online
2024-01-14,Electronics,Electronics Product,323.69,2,1669,Returning,East,Offline
2024-03-22,Clothing,Clothing Product,272.5,3,1405,New,East,Online
2024-05-31,Home,Home Product,204.89,5,1739,New,North,Offline
2024-12-15,Electronics,Electronics Product,278.39,4,1112,New,East,Online
2024-09-07,Clothing,Clothing Product,147.26,4,1659,Returning,West,Offline
2024-08-27,Clothing,Clothing Product,167.6,4,1074,Returning,East,Offline
2024-12-24,Home,Home Product,115.35,5,1618,New,North,Offline
2024-04-22,Home,Home Product,129.53,3,1876,Returning,South,Offline
2024-02-20,Clothing,Clothing Product,230.82,2,1703,Returning,North,Online
2024-09-17,Home,Home Product,168.04,2,1930,New,West,Offline
2024-05-08,Electronics,Electronics Product,172.14,1,1542,New,West,Online
2024-03-24,Electronics,Electronics Product,179.23,4,1617,New,West,Offline
2024-12-07,Clothing,Clothing Product,149.58,2,1728,Returning,West,Online
2024-07-23,Electronics,Electronics Product,144.63,4,1849,New,South,Online
2024-09-06,Electronics,Electronics Product,189.87,2,1671,New,East,Online
2024-09-04,Clothing,Clothing Product,206.66,2,1491,New,East,Offline
2024-05-21,Electronics,Electronics Product,133.38,1,1914,New,North,Offline
2024-12-10,Electronics,Electronics Product,234.02,5,1707,New,North,Online
2024-11-22,Clothing,Clothing Product,127.86,3,1680,Returning,South,Online
2024-03-26,Electronics,Electronics Product,116.2,2,1576,New,North,Offline
2024-11-25,Electronics,Electronics Product,173.1,3,1636,Returning,North,Offline
2024-06-15,Clothing,Clothing Product,320.6,2,1610,Returning,South,Online
2024-07-10,Clothing,Clothing Product,207.71,4,1877,New,East,Online
2024-08-01,Electronics,Electronics Product,263.95,3,1380,New,East,Offline
2024-06-16,Home,Home Product,183.89,4,1096,Returning,South,Offline
2024-02-11,Clothing,Clothing Product,158.18,1,1378,Returning,West,Online
2024-06-26,Clothing,Clothing Product,276.24,5,1596,New,East,Online
2024-03-12,Electronics,Electronics Product,157.56,2,1553,Returning,East,Online
2024-11-11,Home,Home Product,179.91,5,1927,New,West,Offline
2024-06-24,Electronics,Electronics Product,175.78,3,1543,Returning,East,Online
2024-05-16,Clothing,Clothing Product,215.9,5,1669,Returning,West,Online
2024-09-25,Home,Home Product,147.97,3,1836,Returning,South,Offline
2024-01-25,Electronics,Electronics Product,168.56,3,1700,Returning,East,Online
2024-09-21,Home,Home Product,124.57,4,1376,Returning,West,Online
2024-12-29,Electronics,Electronics Product,170.1,2,1276,Returning,West,Online
2024-06-04,Home,Home Product,259.56,4,1545,New,West,Online
2024-02-10,Clothing,Clothing Product,316.63,1,1836,Returning,East,Online
2024-04-17,Home,Home Product,102.63,4,1892,Returning,East,Offline
2024-09-28,Home,Home Product,108.46,4,1123,New,South,Online
2024-01-01,Clothing,Clothing Product,230.23,4,1441,Returning,West,Online
2024-10-29,Clothing,Clothing Product,196.29,4,1459,New,South,Online
2024-02-08,Clothing,Clothing Product,121.0,3,1736,Returning,North,Online
2024-05-13,Clothing,Clothing Product,97.71,4,1500,New,East,Offline
2024-11-23,Clothing,Clothing Product,47.54,3,1595,Returning,South,Online
2024-10-07,Home,Home Product,173.89,3,1898,New,West,Offline
2024-10-01,Electronics,Electronics Product,245.04,3,1635,Returning,North,Offline
2024-04-30,Clothing,Clothing Product,222.04,1,1285,New,West,Offline
2024-09-21,Electronics,Electronics Product,310.29,3,1820,New,West,Online
2024-08-14,Clothing,Clothing Product,178.57,1,1631,Returning,North,Offline
2024-05-06,Clothing,Clothing Product,247.66,4,1034,Returning,East,Online
2024-09-23,Home,Home Product,144.36,5,1200,Returning,West,Offline
2024-11-19,Electronics,Electronics Product,214.3,5,1342,Returning,East,Online
2024-11-27,Home,Home Product,143.81,5,1818,Returning,South,Offline
2024-02-07,Electronics,Electronics Product,257.17,4,1539,New,West,Offline
2024-09-16,Electronics,Electronics Product,140.66,1,1768,New,South,Offline
2024-03-12,Home,Home Product,95.0,1,1572,New,East,Online
2024-09-24,Home,Home Product,37.42,5,1752,New,South,Offline
2024-12-20,Home,Home Product,108.0,1,1652,New,West,Offline
2024-07-07,Electronics,Electronics Product,265.07,1,1703,New,South,Online
2024-11-13,Clothing,Clothing Product,124.01,5,1816,New,South,Online
2024-02-10,Electronics,Electronics Product,198.89,3,1493,Returning,North,Online
2024-05-26,Electronics,Electronics Product,264.57,4,1018,New,East,Offline
2024-11-27,Electronics,Electronics Product,255.27,4,1249,Returning,West,Offline
2024-01-08,Clothing,Clothing Product,167.46,1,1686,Returning,North,Online
2024-12-05,Home,Home Product,53.17,3,1750,New,South,Online
2024-03-24,Electronics,Electronics Product,156.85,1,1934,New,North,Online
2024-09-14,Electronics,Electronics Product,194.08,2,1562,New,East,Offline
2024-04-27,Electronics,Electronics Product,201.13,3,1628,New,North,Online
2024-01-02,Home,Home Product,233.53,4,1418,Returning,North,Offline
2024-08-22,Clothing,Clothing Product,255.05,5,1573,New,North,Offline
2024-02-18,Clothing,Clothing Product,189.88,3,1657,Returning,East,Online
2024-04-08,Clothing,Clothing Product,161.14,4,1363,Returning,North,Online
2024-12-19,Clothing,Clothing Product,178.46,3,1559,Returning,West,Online
2024-06-08,Clothing,Clothing Product,213.93,1,1919,Returning,South,Offline
2024-06-15,Electronics,Electronics Product,213.66,2,1987,New,South,Offline
2024-05-05,Electronics,Electronics Product,73.04,2,1687,Returning,East,Online
2024-04-25,Home,Home Product,197.24,3,1578,Returning,West,Online
2024-03-15,Home,Home Product,131.2,3,1233,New,North,Online
2024-02-20,Home,Home Product,233.66,5,1548,Returning,South,Offline
2024-06-18,Electronics,Electronics Product,182.27,2,1200,Returning,West,Online
2024-10-11,Clothing,Clothing Product,105.75,4,1068,New,North,Offline
2024-06-13,Electronics,Electronics Product,132.39,5,1378,New,North,Online
2024-12-08,Clothing,Clothing Product,124.31,4,1138,New,East,Online
2024-12-24,Clothing,Clothing Product,148.1,5,1482,Returning,West,Online
2024-04-20,Clothing,Clothing Product,145.87,1,1663,Returning,South,Online
2024-09-06,Electronics,Electronics Product,263.64,5,1656,New,East,Offline
2024-04-10,Home,Home Product,215.22,5,1558,Returning,West,Online
2024-05-19,Electronics,Electronics Product,228.06,5,1976,Returning,South,Offline
2024-07-02,Electronics,Electronics Product,192.52,4,1747,Returning,West,Offline
2024-11-03,Home,Home Product,129.64,3,1416,New,West,Offline
2024-08-03,Clothing,Clothing Product,281.76,5,1973,Returning,East,Offline
2024-08-06,Clothing,Clothing Product,150.11,5,1162,Returning,South,Offline
2024-02-17,Electronics,Electronics Product,116.92,3,1574,New,East,Online
2024-10-20,Clothing,Clothing Product,257.79,5,1286,Returning,East,Online
